Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 09:59:47:2549631 PM,41.2931,,,,0.0151,0.0481,44.8517,0.0801
2021-12-29 09:59:47:3326181 PM,36.6656,,,,0.0193,0.0193,40.3046,0.0571
2021-12-29 09:59:47:4085879 PM,39.4033,,,,0.0153,0.0188,42.3203,0.0321
2021-12-29 09:59:47:4874996 PM,36.506,,,,0.0149,0.027,39.6799,0.0367
2021-12-29 09:59:47:5795614 PM,41.3513,,,,0.0156,0.0241,44.9667,0.0302
2021-12-29 09:59:47:6526029 PM,40.099,,,,0.0159,0.0182,43.0227,0.0318
2021-12-29 09:59:47:7467230 PM,45.5295,,,,0.0143,0.0211,46.8328,0.0301
2021-12-29 09:59:47:8238971 PM,38.5307,,,,0.0154,0.049,41.7053,0.0492
2021-12-29 09:59:47:8998150 PM,36.8236,,,,0.0148,0.0187,40.0192,0.0328
2021-12-29 09:59:47:9786946 PM,37.9499,,,,0.0271,0.0366,42.3312,0.0495
2021-12-29 09:59:48:0693470 PM,41.0783,,,,0.0167,0.0252,44.9373,0.035
2021-12-29 09:59:48:1488190 PM,34.6437,,,,0.0161,0.0324,38.2186,0.0353
2021-12-29 09:59:48:2395416 PM,46.4371,,,,0.0225,0.0335,48.178,0.0653
2021-12-29 09:59:48:3348827 PM,52.2492,,,,0.0166,0.0261,55.4183,0.0388
2021-12-29 09:59:48:4150505 PM,35.1641,,,,0.0142,0.0237,36.5656,0.03
2021-12-29 09:59:48:4915634 PM,36.9266,,,,0.0314,0.0234,40.1623,0.0334
2021-12-29 09:59:48:5690191 PM,36.1749,,,,0.0161,0.0197,39.3184,0.0325
2021-12-29 09:59:48:6459223 PM,34.3959,,,,0.0157,0.018,37.0703,0.0277
2021-12-29 09:59:48:7240450 PM,35.0334,,,,0.0147,0.0192,37.9123,0.0325
2021-12-29 09:59:48:7994454 PM,39.5689,,,,0.0158,0.0207,42.8705,0.0331
2021-12-29 09:59:48:8624207 PM,32.8024,,,,0.0155,0.018,35.6002,0.0366
2021-12-29 09:59:48:9391038 PM,32.6116,,,,0.0143,0.0198,35.2683,0.0334
2021-12-29 09:59:49:0197310 PM,36.2028,,,,0.0165,0.0233,38.9711,0.0324
2021-12-29 09:59:49:0989308 PM,35.8635,,,,0.0142,0.0187,38.5738,0.0326
2021-12-29 09:59:49:1750517 PM,39.9275,,,,0.0153,0.0191,42.6439,0.0317
2021-12-29 09:59:49:2534658 PM,34.9535,,,,0.0138,0.0194,37.7959,0.0284
2021-12-29 09:59:49:3323985 PM,38.9459,,,,0.0138,0.0209,40.1218,0.0396
2021-12-29 09:59:49:4114829 PM,36.0514,,,,0.0142,0.0198,38.5756,0.0302
2021-12-29 09:59:49:4900580 PM,36.1399,,,,0.0142,0.019,37.6024,0.0208
2021-12-29 09:59:49:5671413 PM,36.1908,,,,0.0142,0.0184,38.8807,0.0329
2021-12-29 09:59:49:6454557 PM,37.5769,,,,0.0154,0.0215,40.2264,0.0313
