Time,Sign,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,Get,ResponseRead
2022-02-03 11:41:26:6254114 PM,0.6673,41.5048,,,,0.0118,0.0221,41.5394,0.0026
2022-02-03 11:41:26:7017860 PM,0.9457,32.2055,,,,0.0126,0.0192,32.2408,0.0033
2022-02-03 11:41:26:7803222 PM,0.9083,36.5953,,,,0.0129,0.0191,36.6382,0.0032
2022-02-03 11:41:26:8580861 PM,0.7033,37.903,,,,0.0119,0.0277,37.9407,0.0029
2022-02-03 11:41:27:1068672 PM,0.7359,206.0422,79.0693,21.7303,54.4493,0.0138,0.1058,206.1144,0.0075
2022-02-03 11:41:27:1845218 PM,0.7555,41.2,,,,0.0125,0.02,41.2456,0.0043
2022-02-03 11:41:27:2452862 PM,0.7045,34.7349,,,,0.014,0.0195,34.7683,0.0031
2022-02-03 11:41:27:3086546 PM,0.7391,34.1375,,,,0.0128,0.0183,34.1785,0.0031
2022-02-03 11:41:27:3846026 PM,0.7994,36.2727,,,,0.0122,0.0209,36.3068,0.0026
2022-02-03 11:41:27:4605491 PM,0.6726,45.1749,,,,0.012,0.0204,45.2378,0.0201
2022-02-03 11:41:27:5233931 PM,1.0471,31.7837,,,,0.0124,0.0193,33.2998,0.0025
2022-02-03 11:41:27:5861123 PM,0.721,33.1852,,,,0.0118,0.02,33.2212,0.0027
2022-02-03 11:41:27:6647688 PM,0.74,43.2061,,,,0.012,0.0181,43.2388,0.0032
2022-02-03 11:41:27:7404943 PM,1.1033,38.7026,,,,0.0148,0.069,38.7892,0.0092
2022-02-03 11:41:27:8033444 PM,0.7397,31.8229,,,,0.0119,0.0343,31.8592,0.0029
2022-02-03 11:41:27:8956701 PM,0.763,54.762,,,,0.0164,0.019,54.7961,0.0026
2022-02-03 11:41:27:9709815 PM,0.88,37.1654,,,,0.0136,0.0187,37.2004,0.0025
2022-02-03 11:41:28:0485137 PM,0.8577,37.8954,,,,0.0151,0.0234,37.9351,0.0029
2022-02-03 11:41:28:1100474 PM,0.8081,34.212,,,,0.0177,0.0181,34.2462,0.0035
2022-02-03 11:41:28:1723279 PM,0.7589,33.3491,,,,0.0118,0.0184,33.3918,0.003
2022-02-03 11:41:28:2520183 PM,0.9386,33.442,,,,0.0143,0.0203,33.4992,0.0031
2022-02-03 11:41:28:3148828 PM,2.2305,30.6499,,,,0.0132,0.0319,30.6859,0.0028
2022-02-03 11:41:28:3898682 PM,2.4592,33.6382,,,,0.0128,0.0198,33.6799,0.0035
2022-02-03 11:41:28:4682001 PM,2.3301,31.8132,,,,0.0129,0.0203,31.8484,0.0062
2022-02-03 11:41:28:5481213 PM,2.7208,35.0867,,,,0.0124,0.0175,35.1301,0.003
2022-02-03 11:41:28:6202855 PM,2.5168,32.7221,,,,0.0125,0.0184,32.759,0.0032
2022-02-03 11:41:28:6824554 PM,0.9844,31.5373,,,,0.0123,0.0182,33.068,0.0025
2022-02-03 11:41:28:7592337 PM,2.4339,33.6518,,,,0.0129,0.0192,33.6877,0.0031
2022-02-03 11:41:28:8337732 PM,2.7578,30.6919,,,,0.0126,0.0218,30.7317,0.003
2022-02-03 11:41:28:9091725 PM,0.8304,36.3383,,,,0.014,0.019,37.9612,0.0033
2022-02-03 11:41:28:9744023 PM,2.1206,29.3117,,,,0.0125,0.0213,29.3505,0.0036
2022-02-03 11:41:29:0383396 PM,2.4245,29.9519,,,,0.0121,0.0203,29.9929,0.0046
2022-02-03 11:41:29:1121631 PM,0.8201,31.7919,,,,0.0159,0.0196,33.5318,0.0026
2022-02-03 11:41:29:1743396 PM,2.5703,31.206,,,,0.0124,0.0338,31.2833,0.0045
2022-02-03 11:41:29:2557914 PM,2.3757,31.9727,,,,0.0119,0.0198,32.0076,0.0026
2022-02-03 11:41:29:3312649 PM,0.9333,29.0446,,,,0.0127,0.0241,30.8333,0.0067
2022-02-03 11:41:29:4073028 PM,2.5069,33.0369,,,,0.0125,0.0195,33.116,0.003
2022-02-03 11:41:29:5323088 PM,2.6421,35.3581,,,,0.014,0.0189,35.4054,0.0037
2022-02-03 11:41:29:6094376 PM,2.0991,33.2258,,,,0.0129,0.1106,33.3105,0.0113
2022-02-03 11:41:29:6857146 PM,2.3701,32.0289,,,,0.0127,0.0235,32.066,0.0038
2022-02-03 11:41:29:7458326 PM,2.4762,29.8946,,,,0.0123,0.0251,29.9349,0.0037
2022-02-03 11:41:29:8083890 PM,2.5441,29.7142,,,,0.0125,0.0198,29.7544,0.0029
2022-02-03 11:41:29:8852320 PM,0.9223,35.4127,,,,0.0127,0.0209,37.1864,0.01
2022-02-03 11:41:29:9627186 PM,2.379,36.4157,,,,0.0131,0.0201,36.4528,0.0028
2022-02-03 11:41:30:0253207 PM,2.3703,30.2347,,,,0.0151,0.0257,30.2787,0.0052
2022-02-03 11:41:30:0880287 PM,0.9069,29.155,,,,0.0126,0.0187,30.7958,0.003
2022-02-03 11:41:30:1568353 PM,1.0368,32.1745,,,,0.0155,0.0358,32.2344,0.0033
2022-02-03 11:41:30:2411565 PM,1.0802,34.4502,,,,0.0193,0.0205,34.4911,0.0032
2022-02-03 11:41:30:3052745 PM,2.4281,30.731,,,,0.0129,0.0276,30.775,0.004
